Abbécourt
Vendhuile
Vendresse-Beaulne
Vénérolles
Venizel
Verdilly
Vermand
Verneuil-sur-Serre
Versigny
Vervins
Vesles-et-Caumont
Vézaponin
Vic-sur-Aisne
Vichel-Nanteuil
Viels-Maisons
Vierzy
Viffort
Villemontoire
Villeneuve-Saint-Germain
Villequier-Aumont
Villeret
Villers-Cotterêts
Villers-Saint-Christophe
Villers-sur-Fère
Villiers-Saint-Denis
Viry-Noureuil
Vivaise
Vivières
Vorges
Voulpaix
Voyenne
Vregny
Wassigny
Wimy
Wissignicourt
